Name	State		% CPU	% Memory	Memory Size	CPU Count	Last Time Exited Standby	Alarm Actions	Cluster	Notes :	Projet	SILO	VEEAM	VEEAM-JOB-SUPPROD	com.hp.proliant	Core	Model	Freq	DC	Cluster
h07082451.macif.fr	Connecté	DL585 G6	18%	86%	65532,00 MB	4	Never	Enabled	NCLP0005			DP			true	6	AMD 8431	2,411	PROD-DEV	PROD-G5
h07082452.macif.fr	Connecté	DL585 G6	2%	20%	65532,00 MB	4	Never	Enabled	NCLP0005			DP			true	6	AMD 8431	2,411	PROD-DEV	PROD-G5
h07062159.macif.fr	Connecté	DL585 G2	68%	58%	65532,00 MB	4	Never	Enabled	NCLP0004			GL			true	6	AMD 8431	2,411	PROD-DEV	PROD
h07054489.macif.fr	Connecté	DL585 G2	56%	70%	57340,00 MB	4	Never	Enabled	NCLP0004			DP			true	6	AMD 8431	2,411	PROD-DEV	PROD
h07053651.macif.fr	Connecté	DL585 G2	71%	50%	49148,00 MB	4	Never	Enabled	NCLP0004			DP			true	6	AMD 8431	2,411	PROD-DEV	PROD
h07053652.macif.fr	Connecté	DL585 G2	62%	71%	49148,00 MB	4	Never	Enabled	NCLP0004			DP			true	6	AMD 8431	2,411	PROD-DEV	PROD
h07053722.macif.fr	Connecté	DL585 G2	66%	74%	49148,00 MB	4	Never	Enabled	NCLP0004			GL			true	6	AMD 8431	2,411	PROD-DEV	PROD
h07053744.macif.fr	Connecté	DL585 G2	77%	53%	49148,00 MB	4	Never	Enabled	NCLP0004			GL			true	6	AMD 8431	2,411	PROD-DEV	PROD
npmp1189.macif.fr	Pas de réponse	DL385 G7	0%	0%	131036 MB	2	Never	Enabled				GL			true	12	AMD 6172	2,1	PROD-DEV	PROD-G7
npmp1188.macif.fr	Maintenance Mode	DL385 G7	0%	1%	131036 MB	2	Never	Enabled							true	12	AMD 6172	2,1	PROD-DEV	PROD-G7
h07062311.macif.fr	Connecté	DL585 G5	35%	88%	65532,00 MB	4	Never	Enabled				GL			true	4	AMD 8386SE	2,812	PROD-DEV	ENV
h07062316.macif.fr	Connecté	DL585 G5	30%	72%	65532,00 MB	4	Never	Enabled				GL			true	4	AMD 8386SE	2,812	PROD-DEV	ENV
h07062306.macif.fr	Connecté	DL585 G5	35%	82%	65532,00 MB	4	Never	Enabled				GL			true	4	AMD 8386SE	2,812	PROD-DEV	ENV
h07062253.macif.fr	Connecté	DL585 G5	23%	51%	65532,00 MB	4	Never	Enabled				DP			true	4	AMD 8386SE	2,812	PROD-DEV	ENV
h07062331.macif.fr	Connecté	DL585 G5	32%	78%	65532,00 MB	4	Never	Enabled				DP			true	4	AMD 8386SE	2,812	PROD-DEV	ENV
h07062301.macif.fr	Connecté	DL585 G5	14%	43%	65532,00 MB	4	Never	Enabled				DP			true	4	AMD 8386SE	2,812	PROD-DEV	ENV
h07054704.macif.fr	Connecté	BL680C G5	0%	2%	65532,00 MB	4	Never	Enabled							true	4	Xeon E7340	2,4	SUPPROD	SUPPROD
h07043180.macif.fr	Connecté	DL585 G5	0%	3%	65532,00 MB	4	Never	Enabled							true	4	AMD 8386SE	2,812	SUPPROD	SUPPROD
h07062321.macif.fr	Connecté	DL585 G5	0%	3%	65532,00 MB	4	Never	Enabled							true	4	AMD 8386SE	2,812	SUPPROD	SUPPROD
h07063392-sc.mmg.macif.fr	Connecté	BL460C G1	0%	7%	16382,00 MB	2	Never	Enabled							true	4	Xeon E5420	2,5	SUPPROD	SUPPROD
	Non encore installé	DL385 G7																	PROD-DEV	PROD-G7
	Non encore installé	DL385 G7																	PROD-DEV	PROD-G7
